*-------------------------------
Italian     love amore innamorato~
English     love~
Intention   INTENT_FRIENDLY
Expression  sognante ~
Smiles      *_*~
Messages
    CharNoArg   Sogno ad occhi aperti il grande amore della mia vita..~
    OthersNoArg $n sospira pensando al suo amore lontano.~
    CharFound   Guardo $N con infinito amore..~
    OthersFound $n guarda $N teneramente innamorat$x.~
    VictFound   $n mi comunica il suo amore con lo sguardo.~
EndMessages
End

*-------------------------------
* SOCIALI LETTERA  'M'

#SOCIAL
Italian     maligno falsorriso~
English     grin~
Intention   INTENT_NEUTRAL
Expression  malignamente ~
Smiles      >:) >:-)~
Messages
    CharNoArg   Senza farmi notare troppo sorrido perfidamente.~
    OthersNoArg $n senza destare troppa attenzione sorride malignamente.~
    CharFound   Sorrido perfidamente a $N.~
    OthersFound $n guarda $N in maniera perfida e inquietante.~
    VictFound   $n mi guarda in maniera perfida e inquietante..~
EndMessages
End

#SOCIAL
Italian     bmano baciamano~
English     hkiss~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   A chi questo romantico gesto?~
    OthersNoArg $n si china in avanti e schiocca un bacio al nulla.~
    CharFound   Poso un bacio sulla mano di $N.~
    OthersFound $n posa un gentilmente un bacio sulla mano di $N.~
    VictFound   $n posa gentilmente un bacio sulla mia mano.~
EndMessages
End

#SOCIAL
Italian     mano stretta~
English     hand~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Stringo l'aria e me ne riempiamo le mani~
    OthersNoArg $n stringe la mano ad una presenza invisibile..~
    CharFound   Stringo la mano di $N.~
    OthersFound $n stringe la mano a $N.~
    VictFound   $n mi stringe la mano.~
    CharAuto    Mi stringo le mani compiaciut$x.~
    OthersAuto  $n si stringe le mani compiaciut$x.~
EndMessages
End

#SOCIAL
Italian     mastica mastico masticare~
English     munch~
Intention   INTENT_NEUTRAL
Expression  masticando ~
Smiles      :& :-&~
Messages
    CharNoArg   Mastico rumorosamente qualcosa tra i denti.~
    OthersNoArg $n mastica rumorosamente qualcosa tra i denti.~
    CharFound   Mordicchio con aria compiaciuta la mano di $N.~
    OthersFound $n mordicchia con aria compiaciuta la mano di $N.~
    VictFound   $n mi mordicchia la mano.~
EndMessages
End

#SOCIAL
Italian     matto pazzo insano~
English     mad~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Uno sguardo totalmente INSANO mi pervade gli occhi!!!.~
    OthersNoArg Uno sguardo totalmente INSANO pervade gli occhi di $n!!!~
    CharFound   Guardo $N come per dire.. "Ma che, sei matt$X?"~
    OthersFound $n guarda $N come per dire.. "Ma che, sei matt$X?"~
    VictFound   $n mi guarda negli occhi come per dire.. "Ma che, sei matt$X?"~
EndMessages
End

#SOCIAL
Italian     medita medito meditare~
English     meditate~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi metto comod$x meditando sulla situazione..~
    OthersNoArg $n si mette comod$x e medita silenziosamente.~
    CharFound   Guardi $N meditando silenziosamente sulla situazione.~
    OthersFound $n guarda $N meditando silenziosamente sulla situazione.~
    VictFound   $n mi guarda meditando silenziosamente sulla situazione.~
EndMessages
End


#SOCIAL
Italian     mestamente mesto~
English     sadly~
Intention   INTENT_NEUTRAL
Expression  mesto ~
Smiles      :[ :-[~
Messages
    CharNoArg   Mi avvilisco tenendo basse spalle mentre chino mestamente il capo.~
    OthersNoArg $n abbassa le spalle sospirando mestamente.~
    CharFound   Lascio cadere le spalle mentre chino mestamente il capo guardando $N.~
    OthersFound $n china mestamente il capo guardando $N.~
    VictFound   $n abbassa le spalle e chinando mestamente il capo mi guarda negli occhi.~
EndMessages
End

#SOCIAL
Italian     mmm riflettere pensiero~
English     mmm~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi fermo un attimo a riflettere dicendo tra me e me.. "mmm.."~
    OthersNoArg $n si ferma a riflettere.. mormorando.. "mmm.."~
    CharFound   Guardi $N mormorando un "mmm" a labbra chiuse.~
    OthersFound $n guarda $N mormorando un "mmm" a labbra chiuse.~
    VictFound   $n mi guarda mormorando un "mmm" a labbra chiuse.~
EndMessages
End

#SOCIAL
Italian     mormora mormoro mormorare~
English     murmur~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mormoro qualcosa distrattamente..~
    OthersNoArg $n mormora qualcosa distrattamente..~
    CharFound   Mormoro distrattamente qualcosa all'indirizzo di $N.~
    OthersFound $n mormora distrattamente qualcosa all'indirizzo di $N.~
    VictFound   $n mormora distrattamente qualcosa verso di me.~
EndMessages
End

#SOCIAL
Italian     mordicchia mordicchio mordicchiare orecchio~
English     nibble~
Intention   INTENT_FRIENDLY
Messages
     CharNoArg   Mmmm ho voglia di mordicchiare qualcuno.~
     OthersNoArg $n si guarda intorno cercando qualcuno da mordere~
     CharFound   Mordicchio lentamente l'orecchio di $N.. mmm che buono.~
     OthersFound $n mordicchia teneramente l'orecchio di $N.~
     VictFound   $n mi mordicchia un orecchio.. mmm piacevole sensazione.~
     CharAuto    Cerco di mordicchiarmi un orecchio.. sarò mica impazzit$x?~
     OthersAuto  $n contrae il viso in incredibili smorfie.. ma cosa sta facendo?~
EndMessages
End

#SOCIAL
Italian     muhaha risatona~
English     muhaha~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Rido diabolicamente! MUHAHAHAHAHAHA!.~
    OthersNoArg $n ride diabolicamente! MUHAHAHAHAHAHA!..~
    CharFound   Rido diabolicamente in faccia a $N! MUHAHAHAHAHAHA!..~
    OthersFound $n ride diabolicamente in faccia a $N! MUHAHAHAHAHAHA!..~
    VictFound   $n mi ride in faccia diabolicamente!!! MUHAHAHAHAHAHA!..~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'N'

#SOCIAL
Italian     naso sniff raffreddore~
English     sniff~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tiro su con il naso. *SNIFF*~
    OthersNoArg $n tira su con il naso.~
    CharFound   Tiro su con il naso guardando $N.~
    OthersFound $n tira su con il naso guardando $N.~
    VictFound   $n tira su con il naso guardandoti.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'O'

#SOCIAL
Italian     occhieggia occhieggio occhieggiare~
English     ogle~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Occhieggio languidamente osservando la scena..~
    OthersNoArg $n occhieggia languidamente guardando la scena.~
    CharFound   Guardo languidamente $N..~
    OthersFound $n guarda $N languidamente..~
    VictFound   $n mi guarda languidamente..~
EndMessages
End

#SOCIAL
Italian     ops pasticcio pasticciare~
English     ops~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi metto la mano sulla bocca e dico, "Oooops! Che ho combinato?"~
    OthersNoArg $n si mette la mano sulla bocca e dice, "Oooops! Che ho combinato?"~
    CharFound   Guardo $N allargando le braccia e dico, "Oops! Ma che fai!?"~
    OthersFound $n guarda $N allargando le braccia e dice, "Oops! Ma che fai?!"~
    VictFound   $n mi guarda allargando le braccia e dice, "Ooops! Ma che fai?!"~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'P'

#SOCIAL
Italian     pat pacca~
English     pat~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   A chi posso dare questa pacca?~
    OthersNoArg $n dà una pacca sulla spalla di una creatura invisibile.~
    CharFound   Do a $N una pacca sulla spalla.~
    OthersFound $n dà a $N una pacca sulla spalla.~
    VictFound   $n mi dà una pacca sulla spalla.~
    CharAuto    Mi do una pacca sulla spalla, ora sto meglio.~
    OthersAuto  $n si dà una pacca sulla spalla, visibilmente soddisfatt$x.~
EndMessages
End

#SOCIAL
Italian     paura pallore pallido~
English     fear~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   La paura mi si disegna sul volto.. sono pallid$x.~
    OthersNoArg La paura disegna il volto di $n.. è pallid$x!~
    CharFound   Guardo $N mentre la paura mi segna il volto.. comincio a sbiancare.~
    OthersFound $n guarda $N mentre la paura segna il suo volto..~
    VictFound   $n mi guarda mentre la paura segna il suo volto..~
EndMessages
End

#SOCIAL
Italian     perplesso perplessità~
English     puzzled~
Intention   INTENT_NEUTRAL
Expression  perplesso ~
Smiles      :| :-|~
Messages
    CharNoArg   Schiudo le labbra e stringo gli occhi in maniera perplessa..~
    OthersNoArg $n schiude le labbra e stringe gli occhi perplessamente.~
    CharFound   Guardo $N esprimendo ampiamente la mia perplessità..~
    OthersFound $n comunica con uno sguardo eloquente la sua perplessità a $N.~
    VictFound   $n mi comunica la sua perplessità con uno sguardo eloquente..~
EndMessages
End

#SOCIAL
Italian     pesta piedi pesto frignare~
English     stomp~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Sbatto i piedi per terra protestando e mettendo il broncio!~
    OthersNoArg $n sbatte i piedi per terra protestando e mettendo il broncio!~
    CharFound   Pesto un piede a $N! Ahi!~
    OthersFound $n pesta un piede a $N, Ahi!~
    VictFound   $n mi pesta un piede, Ahi!~
EndMessages
End

#SOCIAL
Italian     piangi lacrime piango piangere~
English     cry~
Intention   INTENT_NEUTRAL
Expression  piangendo ~
Smiles      :@ :-@~
Messages
    CharNoArg   Mi brillano gli occhi mentre calde lacrime scivolano lungo il tuo viso.~
    OthersNoArg $n versa calde lacrime di dolore dai suoi occhi lucidi.~
    CharFound   Volgo a $N il mio sguardo mentre numerose lacrime mi solcano il volto.~
    OthersFound $n guarda $N con il volto rigato da lacrime.~
    VictFound   $n mi guarda mentre dai suoi occhi vedi nascere e scivolar via calde lacrime.~
EndMessages
End

#SOCIAL
Italian     piccolo imbarazzo~
English     little~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Divento piccol$x piccol$x per la paura e l'imbarazzo..~
    OthersNoArg $n diventa piccol$x piccol$x per la paura e l'imbarazzo..~
    CharFound   Divento piccol$x piccol$x guardando $N. ~
    OthersFound $n diventa piccol$x piccol$x guardando $N.~
    VictFound   $n diventa piccol$x piccol$x guardandomi.~
EndMessages
End

#SOCIAL
Italian     pizzico pizzicotto pizzicare~
English     pinch~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi do un pizzico.. ma sono davvero svegli$x?!~
    OthersNoArg $n si dà un pizzico per verificare di essere veramente svegli$x..~
    CharFound   Pizzico scherzosamente $N. ~
    OthersFound $n pizzica scherzosamente $N.~
    VictFound   $n mi pizzica scherzosamente.. Ahi però!~
EndMessages
End

#SOCIAL
Italian     poesia poeta declamo~
English     poetry~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Declami alcuni versi di un antico poema.~
    OthersNoArg $n mormora alcuni versi di straordinaria bellezza.~
    CharFound   Dedico a $N una poesia in omaggio alla sua persona. ~
    OthersFound $n recita una poesia per $N.~
    VictFound   $n mormora per me alcuni versi di una bellissima poesia.~
EndMessages
End

#SOCIAL
Italian     ponderi ponderare pondero~
English     ponder~
Intention   INTENT_NEUTRAL
Messages
     CharNoArg   Mi siedo e pondero intensamente la questione.~
     OthersNoArg $n si siede e pondera intensamente la questione.~
     CharFound   Pondero la situazione guardando $N. ~
     OthersFound $n pondera la situazione guardando $N.~
     VictFound   $n pondera la situazione guardandomi attentamente.~
EndMessages
End

#SOCIAL
Italian     supplica supplicare supplico~
English     implore~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Rivolgo una devota e silenziosa preghiera agli Dei.~
    OthersNoArg $n socchiude gli occhi e rivolge una preghiera ai suoi Dei.~
    CharFound   M'inginocchio ai piedi di $N pregandol$X!~
    OthersFound $n s'inginocchia ai piedi di $N pregandol$X!~
    VictFound   $n s'inginocchia ai miei piedi pregandomi.~
EndMessages
End

#SOCIAL
Italian     pronto ok~
English     ready~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Annuisco, sono pront$x!~
    OthersNoArg $n annuisce, è pront$x!~
    CharFound   Annuisco a $N, sono pront$x!~
    OthersFound $n annuisce a $N, è pront$x!~
    VictFound   $n mi annuisce, è pront$x!~
EndMessages
End

#SOCIAL
Italian     pugno colpire colpisco~
English     pounch~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   A chi questo bel gesto di solidarietà?~
    OthersNoArg $n stringe le mani a pugno in cerca di qualche brutto muso da picchiare.~
    CharFound   Tiro un pugno in pancia a $N!~
    OthersFound $n tira un pugno in pancia a $N!~
    VictFound   $n mi tira un pugno in pancia! OUCH!~
EndMessages
End

#SOCIAL
Italian     puntini nocomment~
English     point~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Apro la bocca e commento con un "........"~
    OthersNoArg $n commenta con un "........"~
    CharFound   Commento con un "........" le parole di $N.~
    OthersFound $n commenta con un "........" le parole di $N.~
    VictFound   $n commenta con un "........" le mie parole.~
EndMessages
End

#SOCIAL
Italian     purr fusa micio~
English     purr~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Faccio le fusa.. E miagolo pure!~
    OthersNoArg $n fa le fusa..~
    CharFound   Mi strofino contro $N facendo le fusa.~
    OthersFound $n si strofina contro $N facendo le fusa.~
    VictFound   $n fa le fusa strofinandosi contro di me.~
EndMessages
End

#SOCIAL
Italian     puzzo puzza puzzare~
English     stink~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Mi annuso e per poco non svengo dalla puzza!~
    OthersNoArg $n si annusa e per poco non sviene dalla puzza!~
    CharFound   Assalgo $N con la mia puzza!~
    OthersFound $n assale $N con la sua puzza mefitica!~
    VictFound   $n mi assale con la sua puzza mefitica!~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'R'

#SOCIAL
Italian     rabbia grr furore arrabbiato arrabbio~
English     rage~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sono così nervos$x che le mie orecchie sembrano fumare!~
    OthersNoArg $n è così nervos$x che le sue orecchie sembrano fumare!~
    CharFound   Sono così in collera con $N che le mie orecchie sembrano fumare!~
    OthersFound $n è così in collera con $N che le sue orecchie sembrano fumare!~
    VictFound   $n è così in collera con me che le sue orecchie sembrano fumare!~
EndMessages
End

#SOCIAL
Italian     brrr brividi freddo rabbrividisco~
English     brrr~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Rabbrividisco.. brrr!!!~
    OthersNoArg $n rabbrividisce visibilmente.. brrr!!!~
    CharFound   Rabbrividisco guardando $N.. brrr!!!~
    OthersFound $n rabbrividisce guardando $N.. brrr!~
    VictFound   $n rabbrividisce guardandomi.. brrr!!!~
EndMessages
End

#SOCIAL
Italian     richiama spalla attenzione~
English     call~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Chi dovrei richiamare?~
    OthersNoArg $n cerca di richiamare l'attenzione dei presenti.~
    CharFound   Richiamo l'attenzione di $N sfiorando la sua spalla con le dita.~
    OthersFound $n richiama l'attenzione di $N sfiorando la sua spalla con le dita.~
    VictFound   $n mi richiama sfiorandomi la spalla con le dita.~
EndMessages
End

#SOCIAL
Italian     ridacchia ridacchio ridacchiare~
English     giggle~
Intention   INTENT_FRIENDLY
Messages
     CharNoArg   Ridacchio allegramente.~
     OthersNoArg $n ridacchia allegramente.~
     CharFound   Ridacchio allegramente verso $N.~
     OthersFound $n ridacchia allegramente verso $N.~
     VictFound   $n ridacchia allegramente verso di me.~
EndMessages
End

#SOCIAL
Italian     ridi rido~
English     laugh~
Intention   INTENT_FRIENDLY
Expression  ridendo ~
Smiles      :D :-D ^_^ :d :-d~
Messages
    CharNoArg   Rido di cuore!~
    OthersNoArg $n scoppia a ridere!~
    CharFound   Rido di cuore guardando $N.~
    OthersFound $n ride di cuore guardando $N.~
    VictFound   $n ride di cuore guardandomi!~
EndMessages
End

#SOCIAL
Italian     ridere~
English     cackle~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tira la testa indietro e scoppia a ridere!~
    OthersNoArg $n tira la testa indietro e scoppia a ridere!~
    CharFound   Tiro la testa indietro e scoppia a ridere guardando $N.~
    OthersFound $n tira la testa indietro e ride di cuore guardando $N.~
    VictFound   $n tira la testa indietro e scoppia a ridere guardandomi!.~
EndMessages
End

#SOCIAL
Italian     ringrazia ringrazio ringraziare grazie~
English     thank~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Esprimo la mia gratitudine~
    OthersNoArg $n ringrazia sentitamente..~
    CharFound   Ringrazio $N con un sorriso.~
    OthersFound $n ringrazia sorridendo $N.~
    VictFound   $n mi ringrazia sorridendo.~
EndMessages
End

#SOCIAL
Italian     riverenza~
English     curtsey~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Faccio una riverenza verso i presenti.~
    OthersNoArg $n rivolge una riverenza ai presenti.~
    CharFound   Faccio una riverenza verso $N.~
    OthersFound $n fa una riverenza verso $N.~
    VictFound   $n fa una riverenza verso di me.~
EndMessages
End

#SOCIAL
Italian     roteaocchi~
English     rolleyes~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Rotea gli occhi sconvolt$x.~
    OthersNoArg $n rotea gli occhi sconvolt$x.~
    CharFound   Roteo gli occhi verso $N, sconvolt$x.~
    OthersFound $n rotea gli occhi verso $N, sconvolt$x.~
    VictFound   $n rotea gli occhi verso di me, sconvolt$x.~
EndMessages
End

#SOCIAL
Italian     russa russare russo~
English     zzz~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Zzzzzzzzzzzzzzzzz.~
    OthersNoArg $n russa sonoramente..~
    CharFound   Mi addormento mentre $N mi sta dicendo qualcosa.~
    OthersFound $n si addormenta all'improvviso mentre $N ancora parla.~
    VictFound   $n si addormenta mentre gli sto parlando!~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'S'

#SOCIAL
Italian     sarcasmo sarcastico~
English     sarcasm~
Intention   INTENT_NEUTRAL
Expression  sarcasticamente ~
Smiles      :$ :-$~
Messages
    CharNoArg   Sorrido sarcasticamente.~
    OthersNoArg $n atteggia il visto ad un sorriso freddamente sarcastico.~
    CharFound   Rivolgo a $N un freddo sorriso pieno di sarcasmo.~
    OthersFound $n rivolge a $N un freddo sorriso pieno di sarcasmo.~
    VictFound   $n mi rivolge un gelido sorriso pieno di sarcasmo.~
EndMessages
End

#SOCIAL
Italian     saltella evviva~
English     jump~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Saltello per la felicità.~
    OthersNoArg $n saltella per la felicità.~
    CharFound   Saltello davanti a $N per la felicità.~
    OthersFound $n saltella davanti a $N per la felicità.~
    VictFound   $n mi saltella davanti per la felicità.~
EndMessages
End

#SOCIAL
Italian     sbraita sbraito sbraitare~
English     bawl~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Comincio a sbraitare con rabbia..~
    OthersNoArg $n comincia a sbraitare..~
    CharFound   Comincio a sbraitare verso $N.~
    OthersFound $n comincia a sbraitare verso $N.~
    VictFound   $n comincia a sbraitare verso di mte.~
EndMessages
End

#SOCIAL
Italian     scherza scherzo scherzetto~
English     joke~
Intention   INTENT_NEUTRAL
Expression  scherzando ~
Smiles      :P :-P :p :-p~
Messages
    CharNoArg   Cerco una vittima per i miei scherzetti..~
    OthersNoArg $n guarda i presenti con fare poco raccomandabile..~
    CharFound   Comincio a prendermi gioco di $N scherzosamente.~
    OthersFound $n comincia a prendersi gioco di $N.~
    VictFound   $n si prende scherzosamente gioco di me.~
EndMessages
End

#SOCIAL
Italian     sconvolto~
English     disraught~
Intention   INTENT_NEUTRAL
Expression  sconvolto ~
Smiles      :O :-O :0 :-0~
Messages
    CharNoArg   Spalanco gli occhi rimanendo a bocca aperta, completamente sconvolt$x.~
    OthersNoArg $n spalanca gli occhi rimanendo a bocca aperta, completamente sconvolt$x..~
    CharFound   Spalanco gli occhi guardando $N completamente sconvolt$x.~
    OthersFound $n spalanca gli occhi guardando $N completamente sconvolt$x..~
    VictFound   $n spalanca gli occhi guardandomi, completamente sconvolt$x.~
EndMessages
End

#SOCIAL
Italian     slap schiaffo schiaffeggiare~
English     slap~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Chi posso schiaffeggiare?~
    OthersNoArg $n tira uno schiaffo a vuoto.~
    CharFound   Schiaffeggio violentemente $N!~
    OthersFound $n tira un ceffone a $N!~
    VictFound   $n mi tira un ceffone proprio in faccia! AHI!~
    CharAuto    Mi schiaffeggio per essere stat$x così idiota.~
    OthersAuto  $n si dà uno schiaffo per punirsi di qualche colpa.~
EndMessages
End

#SOCIAL
Italian     shhh silenzio zitto~
English     shhh~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Aggrotto le ciglia e chiedo silenzio, "Shhhhhh"~
    OthersNoArg $n aggrotta le ciglia e chiede un po' di silenzio con un : "Shhhhhh".~
    CharFound   Guardo $N aggrottando le sopracciglia chiedendo un po' di silenzio.. Shhhh!~
    OthersFound $n aggrotta le ciglia e chiede un po' di silenzio a $N.. Shhh!~
    VictFound   $n mi chiede un po' di silenzio.. shhhhh!~
    CharAuto    Mi ammutolisco all'istante.~
    OthersAuto  $n si chiude in religioso silenzio.~
EndMessages
End


#SOCIAL
Italian     spingi spingo spingere~
English     poke~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Chi vorrei spingere?~
    OthersNoArg $n si muove un po' inquiet$x.~
    CharFound   Spingo lievemente $N cercando di destare la sua attenzione.~
    OthersFound $n spinge lievemente $N.~
    VictFound   $n mi spinge lievemente richiamando la mia attenzione.~
EndMessages
End

#SOCIAL
Italian     sghignazzo sghignazzare~
English     ghghgh~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sghignazzo in disparte..~
    OthersNoArg $n sghignazza in disparte..~
    CharFound   Sghignazzo guardando $N..~
    OthersFound $n sghignazza guardando $N..~
    VictFound   $n sghignazza guardandomi..~
EndMessages
End

#SOCIAL
Italian     fsss sibilo sibilare serpe~
English     fsss~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Mostro i denti sibilando aspramente qualcosa.~
    OthersNoArg $n mostra i denti sibilando aspramente qualcosa.~
    CharFound   Mostro i denti a $N sbilando aspramente qualcosa.~
    OthersFound $n mostra i denti a $N sibilando aspramente qualcosa.~
    VictFound   $n mi mostra i denti sibilando aspramente qualcosa.~
EndMessages
End

#SOCIAL
Italian     smorfia disgusto disgustato~
English     grimace~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Contorco il viso in una smorfia di disgusto.~
    OthersNoArg $n contorce il viso in una smorfia di disgusto.~
    CharFound   Contorco il viso in una smorfia di disgusto guardando $N.~
    OthersFound $n contorce il viso in una smorfia di disgusto guardando $N.~
    VictFound   $n contorce il viso in una smorfia di disgusto guardandomi.~
EndMessages
End


#SOCIAL
Italian     saluta saluto salutare~
English     wave~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Saluto allegramente.~
    OthersNoArg $n saluta allegramente~
    CharFound   Saluto allegramente $N.~
    OthersFound $n saluta allegramente $N.~
    VictFound   $n mi saluta allegramente.~
EndMessages
End

#SOCIAL
Italian     snap schioccare~
English     snap~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Schioccho le dita!~
    OthersNoArg $n schiocca le dita!~
    CharFound   Schioccho le dita verso $N!~
    OthersFound $n schiocca le dita verso $N!~
    VictFound   $n schiocca le dita verso di me!~
EndMessages
End

#SOCIAL
Italian     snob altezzoso~
English     snob~
Intention   INTENT_NEUTRAL
Expression  altezzosamente ~
Smiles      :" :-"~
Messages
    CharNoArg   Arriccio il naso voltando il capo molto altezzosamente.~
    OthersNoArg $n arriccia il naso voltando il capo altezzosamente.~
    CharFound   Rivolgendo una rapida occhiata a $N arriccio il naso e mi volti altrove altezzosamente.~
    OthersFound $n rivolgendo una rapida occhiata a $N arriccia il naso per poi voltarsi altezzosamente.~
    VictFound   $n mi rivolge una rapida occhiata prima di arricciare educatamente il naso e voltarsi altezzosamente.~
EndMessages
End

#SOCIAL
Italian     snort sbuffa sbuffo~
English     snort sbuffa sbuffo~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sbuffo nervosamente.. Snort.~
    OthersNoArg $n sbuffa nervosamente..~
    CharFound   Sbuffo nervosamente all'indirizzo di $N.~
    OthersFound $n sbuffa nervosamente all'indirizzo di $N.~
    VictFound   $n sbuffa nervosamente nei miei confronti~
EndMessages
End

#SOCIAL
Italian     sofferente malato~
English     sick~
Intention   INTENT_NEUTRAL
Expression  infelice ~
Smiles      :(( :-((~
Messages
    CharNoArg   Stringo gli occhi mentre il dolore mi segna il volto.~
    OthersNoArg $n chiude gli occhi mentre il suo volto viene adombrato dal dolore.~
    CharFound   Guardo $N con occhi pieni di dolore.~
    OthersFound $n guarda $N con gli occhi pieni di dolore.~
    VictFound   $n mi guarda, gli occhi pieni di dolore .~
EndMessages
End

#SOCIAL
Italian     malefico~
English     ihihihi~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sogghigno maleficamente.~
    OthersNoArg $n sogghigna maleficamente.~
    CharFound   Sogghigno maleficamente verso $N.~
    OthersFound $n sogghigna maleficamente verso $N.~
    VictFound   $n soghigna maleficamente guardandomi.~
EndMessages
End

#SOCIAL
Italian     solletico solleticare~
English     tickle~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Chi voglio solleticare?~
    OthersNoArg $n agita le dita nervosamente, forse vuole solleticare qualcuno.~
    CharFound   Faccio il solletico a $N.~
    OthersFound $n fa il solletico a $N.~
    VictFound   $n mi fa il solletico - hee hee hee.~
    CharAuto    AHAHAHAHAHAHAHAH!!~
    OthersAuto  $n si solletica ridendo a crepapelle.~
EndMessages
End

#SOCIAL
Italian     sopracciglio~
English     eyebrow~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sollevo un sopracciglio perpless$x.~
    OthersNoArg $n solleva un sopracciglio perpless$x.~
    CharFound   Sollevo un sopracciglio verso $N.~
    OthersFound $n solleva un sopracciglio guardando $N.~
    VictFound   $n solleva un sopracciglio guardandomi~
EndMessages
End

#SOCIAL
Italian     sorpreso sorpresa~
English     amazed~
Intention   INTENT_NEUTRAL
Expression  sorpreso ~
Smiles      :o :-o~
Messages
    CharNoArg   Spalanco gli occhi dalla sorpresa!~
    OthersNoArg $n spalanca gli occhi dalla sorpresa!~
    CharFound   Spalanco gli occhi guardando $N.~
    OthersFound $n spalanca gli occhi guardando $N.~
    VictFound   $n spalanca gli occhi guardandomi.~
EndMessages
End

#SOCIAL
Italian     sorridi sorrido~
English     smile~
Intention   INTENT_FRIENDLY
Expression  sorridendo ~
Smiles      :) :-) =) =-)~
Messages
    CharNoArg   Distendo le labbra in un sorriso.~
    OthersNoArg $n sorride lievemente.~
    CharFound   $M volgo un sorriso.~
    OthersFound $n volge a $N un sorriso.~
    VictFound   $n mi guarda sorridendo.~
    CharAuto    Socchiudo gli occhi dando al mio Ego il buongiorno con un sorriso interiore..~
    OthersAuto  $n batte lentamente le palpebre abbozzando un sorriso compiaciuto.~
EndMessages
End

#SOCIAL
Italian     scusa scuso scusarsi~
English     sorry~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Chiedo perdono per l'accaduto.~
    OthersNoArg $n chiede perdono per l'avvenuto.~
    CharFound   $M chiedo perdono a $N per l'accaduto.~
    OthersFound $n chiede il perdono a $N.~
    VictFound   $n mi chiede perdono per il suo comportamento.~
EndMessages
End

#SOCIAL
Italian     sorrisone~
English     bigsmile~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Sfodero un sorriso abbagliante!~
    OthersNoArg $n sfodera un sorriso abbagliante!~
    CharFound   Sfodero a $N un sorriso abbagliante!~
    OthersFound $n sfodera un sorriso abbagliante a $N! ~
    VictFound   $n mi sfodera un abbagliante sorriso!.~
EndMessages
End

#SOCIAL
Italian     sigh sospira sospiro~
English     sigh sospira~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Sospiro.. Ahimè.~
    OthersNoArg $n sospira.. Ahimè.~
    CharFound   Sospiro guardando $N..~
